hanzi,pinyin,definition,frequency,HSKlevel,state
的,de,"possessive, adjectival suffix",1,1,2
一,yī,"one; a, an; alone",2,1,2
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",3,1,2
不,bù,"no, not; un-; negative prefix",4,1,2
了,le,to finish; particle of completed action,5,1,2
在,zài,"be at, in, on; consist in, rest",6,1,2
人,rén,man; people; mankind; someone else,7,1,2
有,yǒu,"have, own, possess; exist",8,1,2
我,wǒ,"our, us, i, me, my, we",9,1,2
他,tā,"other, another; he, she, it",10,1,2
这,zhè,"this, the, here",11,1,2
个,gè,"numerary adjunct, piece; single",12,1,2
们,men,adjunct pronoun indicate plural,13,1,2
中,zhōng,"central; center, middle; in the midst of; hit (target); attain",14,1,2
来,lái,"come, coming; return, returning",15,1,2
上,shàng,"top; superior, highest; go up, send up",16,1,2
大,dà,"big, great, vast, large, high",17,1,2
为,wèi,"do, handle, govern, act; be",18,2,2
和,hé,"harmony, peace; peaceful, calm",19,1,2
国,guó,"nation, country, nation-state",20,1,2
地,de,"earth; soil, ground; region",21,3,2
到,dào,"go to, arrive, been to",22,2,2
以,yǐ,"by means of; thereby, therefore; consider as; in order to",23,2,2
说,shuō,"speak, say, talk; scold, upbraid",24,1,2
时,shí,"time, season; era, age, period",25,1,2
要,yào,"necessary, essential; necessity",26,2,2
就,jiù,"just, simply; to come, go to; to approach, near",27,2,2
出,chū,"go out, send out; stand; produce",28,1,2
会,huì,"assemble, meet together; meeting",29,1,2
可,kě,"may, can, -able; possibly",30,2,2
也,yě,also; classical final particle of strong affirmation or identity,31,2,2
你,nǐ,"you, second person pronoun",32,1,2
对,duì,"correct, right; facing, opposed",33,1,2
生,shēng,"life, living, lifetime; birth",34,1,2
能,néng,"to be able; can, permitted to; ability",35,1,2
而,ér,and; and then; and yet; but,36,3,2
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",37,1,2
那,nà,"that, that one, those",38,1,2
得,dé,"obtain, get, gain, acquire",39,2,2
于,yú,"in, on, at; go to; surname",40,3,2
着,zhe,"make move, take action",41,2,2
下,xià,"under, underneath, below; down; inferior; bring down",42,1,2
自,zì,"self, private, personal; from",43,3,2
之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",44,4,2
年,nián,,45,1,2
过,guò,"pass, pass through, go across",46,2,2
发,fā,"issue, dispatch, send out; hair",47,3,2
后,hòu,"queen, empress, sovereign; (simp. for後) behind, rear, after",48,1,2
作,zuò,"make; work; compose, write; act, perform",49,1,2
里,lǐ,unit of distance; village; lane,50,1,2
用,yòng,"use, employ, apply, operate; use",51,3,2
道,dào,"path, road, street; method, way",52,2,2
行,xíng,"go; walk; move, travel; circulate",53,3,2
所,suǒ,"place, location; numerary adjunct",54,2,2
然,rán,"yes, certainly; pledge, promise",55,2,2
家,jiā,"house, home, residence; family",56,1,2
种,zhǒng,"seed; race, breed; to plant",57,3,2
事,shì,"affair, matter, business; to serve; accident, incident",58,2,2
成,chéng,"completed, finished, fixed",59,3,2
方,fāng,"a square, rectangle; a region; local",60,3,2
多,duō,"much, many; more than, over",61,1,2
经,jīng,classic works; pass through,62,2,2
么,me,interrogative particle; repetition of a tune small; tender,63,1,2
去,qù,"go away, leave, depart",64,1,2
法,fǎ,"law, rule, regulation, statute; France, French",65,3,2
学,xué,"learning, knowledge; school",66,1,2
如,rú,"if, supposing; as if; like, as",67,3,2
都,dōu,"metropolis, capital; all, the whole; elegant, refined",68,1,2
同,tóng,"same, similar; together with",69,1,2
现,xiàn,"appear, manifest, become visible",70,1,2
当,dāng,"bear, accept, undertake; just",71,3,2
没,méi,"not, have not, none; drown, sink",72,1,2
动,dòng,"move, happen; movement, action",73,2,2
面,miàn,"face; surface; plane; side, dimension",74,1,2
起,qǐ,"rise, stand up; go up; begin",75,1,2
看,kàn,"look, see; examine, scrutinize",76,1,2
定,dìng,"decide, settle, fix",77,3,2
天,tiān,"sky, heaven; god, celestial",78,1,2
分,fēn,divide; small unit of time etc.,79,1,2
还,hái,"still, yet, also, besides",80,2,2
进,jìn,"advance, make progress, enter",81,2,2
好,hǎo,"good, excellent, fine; well",82,1,2
小,xiǎo,"small, tiny, insignificant",83,1,2
部,bù,"part, division, section",84,4,2
其,qí,"his, her, its, their; that",85,3,2
些,xiē,"little, few; rather, somewhat",86,1,2
主,zhǔ,"master, chief owner; host; lord",87,3,2
样,yàng,"shape, form, pattern, style",88,1,2
理,lǐ,"reason, logic; manage",89,3,2
心,xīn,"heart; mind, intelligence; soul",90,3,2
她,tā,"she, her",91,1,2
本,běn,"root, origin, source; basis",92,1,2
前,qián,"in front, forward; preceding",93,1,2
开,kāi,"open; initiate, begin, start",94,1,2
但,dàn,"only; but, however, yet, still",95,2,2
因,yīn,"cause, reason; by; because (of)",96,2,2
只,zhǐ,"only, just, simply",97,3,2
从,cóng,"from, by, since, whence, through",98,2,2
想,xiǎng,"think, speculate, plan, consider",99,1,2
实,shí,"real, true; honest, sincere",100,3,2
日,rì,sun; day; daytime,101,2,2
军,jūn,"army, military; soldiers, troops",102,5,1
者,zhě,that which; he who; those who,103,3,2
意,yì,"thought, idea, opinion; think",104,2,2
无,wú,"negative, no, not; KangXi radical 71",105,4,2
力,lì,"power, capability, influence",106,3,2
它,tā,it; other,107,2,2
与,yǔ,"and; with; to; for; give, grant",108,4,2
长,zhǎng,long; length; excel in; leader,109,2,2
把,bǎ,"hold, take; guard; regard as",110,3,2
机,jī,desk; machine; moment,111,1,2
十,shí,"ten, tenth; complete; perfect",112,1,2
民,mín,"people, subjects, citizens",113,4,2
第,dì,"sequence, number; grade, degree",114,2,2
公,gōng,"fair, equitable; public; duke",115,2,2
此,cǐ,"this, these; in this case, then",116,4,2
已,yǐ,already; finished; stop,117,2,2
工,gōng,"labor, work; worker, laborer",118,1,2
使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",119,4,2
情,qíng,"feeling, sentiment, emotion",120,2,2
明,míng,"bright, light, brilliant; clear",121,1,2
性,xìng,"nature, character, sex",122,4,2
知,zhī,"know, perceive, comprehend",123,2,2
全,quán,"maintain, keep whole or intact",124,4,2
三,sān,three,125,1,2
又,yòu,"and, also, again, in addition",126,3,2
关,guān,frontier pass; close; relation,127,1,2
点,diǎn,"dot, speck, spot; point, degree",128,1,2
正,zhèng,"right, proper, correct",129,2,2
业,yè,"profession, business; GB radical 111",130,3,2
外,wài,"out, outside, external; foreign",131,2,2
将,jiāng,"will, going to, future; general",132,4,2
两,liǎng,"two, both, pair, couple; ounce",133,2,2
高,gāo,"high, tall; lofty, elevated",134,1,2
间,jiān,"midpoint, space; place, locality",135,2,2
由,yóu,"cause, reason; from",136,4,2
问,wèn,"ask about, inquire after",137,2,2
很,hěn,"very, quite, much",138,1,2
最,zuì,"most, extremely, exceedingly",139,2,2
重,zhòng,"heavy, weighty; double",140,3,2
并,bìng,,141,4,1
物,wù,"thing, substance, creature",142,3,2
手,shǒu,hand,143,2,2
应,yīng,"should, ought to, must",144,3,2
战,zhàn,"war, fighting, battle",145,5,2
向,xiàng,"toward, direction, trend",146,3,2
头,tóu,"head; top; chief, first; boss",147,3,2
文,wén,"literature, culture, writing",148,3,2
体,tǐ,"body; group, class, body, unit; inferior",149,2,2
政,zhèng,"government, political affairs",150,5,1
美,měi,"beautiful, pretty; pleasing",151,4,2
相,xiāng,"mutual, reciprocal, each other",152,3,2
见,jiàn,"see, observe, behold; perceive",153,1,2
被,bèi,,154,3,2
利,lì,"gains, advantage, profit, merit",155,4,2
什,shén,"file of ten soldiers; mixed, miscellaneous",156,1,2
二,èr,two; twice,157,1,2
等,děng,,158,2,2
产,chǎn,"give birth, bring forth, produce",159,5,1
或,huò,"or, either, else; perhaps, maybe",160,3,2
新,xīn,"new, recent, fresh, modern",161,2,2
己,jǐ,"self, oneself; personal, private; 6th heavenly stem",162,3,2
制,zhì,system; establish; overpower,163,5,1
身,shēn,"body; trunk, hull; rad. no. 158",164,2,2
果,guǒ,fruit; result,165,1,2
加,jiā,"add to, increase, augment",166,3,2
西,xī,"west(ern); westward, occident",167,1,2
斯,sī,"this, thus, such; to lop off; emphatic particle",168,6,0
月,yuè,moon; month; KangXi radical 74,169,1,2
话,huà,"speech, talk, language; dialect",170,1,2
合,hé,"combine, unite, join; gather",171,4,2
回,huí,"return, turn around; a time",172,1,2
特,tè,"special, unique, distinguished",173,3,2
代,dài,"replace, replacement (of person or generation); era, generation",174,5,2
内,nèi,inside,175,4,2
信,xìn,"trust, believe; letter",176,3,2
表,biǎo,"show, express, manifest, display",177,2,2
化,huà,"change, convert, reform; -ize",178,3,2
老,lǎo,"old, aged; experienced",179,1,2
给,gěi,"give; by, for",180,2,2
世,shì,generation; world; era,181,3,2
位,wèi,"throne; position, post; rank, status; seat",182,3,2
次,cì,"order, sequence; next",183,2,2
度,dù,"degree, system; manner; to consider",184,4,2
门,mén,"gate, door, entrance, opening",185,2,2
任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",186,4,2
常,cháng,"common, normal, frequent, regular",187,2,2
先,xiān,"first, former, previous",188,1,2
海,hǎi,"sea, ocean; maritime",189,4,2
通,tōng,"pass through, common, communicate",190,4,2
教,jiào,"teach, class",191,2,2
儿,ér,"son, child; KangXi radical 10",192,1,2
原,yuán,"source, origin, beginning",193,4,2
东,dōng,"east, eastern, eastward",194,1,2
声,shēng,"sound, voice, noise; tone; music",195,3,2
提,tí,hold in hand; lift in hand,196,3,2
立,lì,"stand; let stand; establish, set",197,5,1
及,jí,extend; reach; come up to; and,198,4,2
比,bǐ,"to compare, liken; comparison; than",199,2,2
员,yuán,"member; personnel, staff member",200,2,2
解,jiě,"loosen, unfasten, untie; explain",201,3,2
水,shuǐ,"water, liquid, lotion, juice",202,1,2
名,míng,"name, rank, title, position",203,1,2
真,zhēn,"real, actual, true, genuine",204,2,2
论,lùn,debate; discuss; discourse,205,4,2
处,chù,"place, locale; department",206,4,2
走,zǒu,"walk, go on foot; run; leave",207,2,2
义,yì,"right conduct, righteousness",208,5,2
各,gè,"each, individually, every, all",209,4,2
入,rù,"enter, come in(to), join",210,4,2
几,jǐ,small table,211,1,2
口,kǒu,"mouth; open end; entrance, gate",212,3,2
认,rèn,"recognize, know, understand",213,1,2
条,tiáo,"clause, condition; string, stripe",214,2,2
平,píng,"flat, level, even; peaceful",215,3,2
系,xì,"system; line, link, connection",216,1,2
气,qì,"steam, vapor; KangXi radical 84",217,1,2
题,tí,"forehead; title, headline; theme",218,2,2
活,huó,"live, exist, survive; lively",219,4,2
尔,ěr,"you; that, those; final particle",220,4,2
更,gèng,"more, still further, much more",221,3,2
别,bié,"separate, other; do not",222,2,2
打,dǎ,"strike, hit, beat; fight; attack",223,1,2
女,nǚ,"woman, girl; feminine; rad. 38",224,1,2
变,biàn,"change, transform, alter; rebel",225,3,2
四,sì,four,226,1,2
神,shén,"spirit, god, supernatural being",227,5,2
总,zǒng,"collect; overall, altogether",228,3,2
何,hé,"what, why, where, which, how",229,4,1
电,diàn,electricity; electric; lightning,230,1,2
数,shù,"number; several, count; fate",231,3,2
安,ān,"peaceful, tranquil, quiet",232,3,2
少,shǎo,"few, less, inadequate",233,1,2
报,bào,"report, tell, announce",234,2,2
才,cái,"talent, ability; just, only",235,3,2
结,jié,"knot, tie; join, connect",236,3,2
反,fǎn,"reverse, opposite, contrary, anti",237,4,2
受,shòu,"receive, accept, get; bear, stand",238,4,2
目,mù,"eye; look, see; division, topic",239,3,2
太,tài,"very, too, much; big; extreme",240,1,2
量,liàng,"measure, quantity, capacity",241,4,2
再,zài,"again, twice, re-",242,1,2
感,gǎn,"feel, perceive, emotion",243,3,2
建,jiàn,"build, establish, erect, found",244,4,2
务,wù,"affairs, business; must, should",245,2,2
做,zuò,"work, make; act",246,1,2
接,jiē,receive; continue; catch; connect,247,3,2
必,bì,"surely, most certainly; must",248,3,2
场,chǎng,"open space, field, market",249,2,2
件,jiàn,numerary adjunct for article; matter,250,2,2
计,jì,"plan, plot; strategem; scheme",251,4,2
管,guǎn,"pipe, tube, duct; woodwind music",252,4,2
期,qī,period of time; date; time limit,253,1,2
市,shì,"market, fair; city, town; trade",254,3,2
直,zhí,"straight, erect, vertical",255,3,2
德,dé,"ethics, morality, virtue",256,5,0
资,zī,property; wealth; capital,257,4,2
命,mìng,"life; destiny, fate, luck; an order, instruction",258,4,2
山,shān,"mountain, hill, peak",259,3,2
金,jīn,gold; metals in general; money,260,4,2
指,zhǐ,"finger, toe; point, indicate",261,4,2
克,kè,gram; overcome; transliteration,262,4,1
许,xǔ,"allow, permit; promise; betroth",263,4,2
统,tǒng,"govern, command, control; unite",264,5,1
区,qū,"area, district, region, ward",265,4,2
保,bǎo,"protect, safeguard, defend, care",266,4,2
至,zhì,"reach, arrive; extremely, very",267,4,2
队,duì,"team, group; army unit",268,4,2
形,xíng,"form, shape, appearance",269,5,1
社,shè,"god of the soil and altars to him; group of families; company, society",270,4,2
便,biàn,"convenience, ease; expedient",271,2,2
空,kōng,"empty, hollow, bare, deserted",272,3,2
决,jué,"decide, determine, judge",273,3,2
治,zhì,"govern, regulate, administer",274,5,1
展,zhǎn,"open, unfold; stretch, extend",275,4,2
马,mǎ,horse; surname; KangXi radical 187,276,3,2
科,kē,"section, department, science",277,4,2
司,sī,"take charge of, control, manage; officer",278,2,2
五,wǔ,five; surname,279,1,2
基,jī,"foundation, base",280,4,2
眼,yǎn,"eye; eyelet, hole, opening",281,2,2
书,shū,"book, letter, document; writings",282,1,2
非,fēi,"not, negative, non-; oppose",283,2,2
则,zé,"rule, law, regulation; grades",284,4,2
听,tīng,"hear; understand; obey, comply",285,1,2
白,bái,"white; pure, unblemished; bright",286,2,2
却,què,"still, but; decline; retreat",287,4,1
界,jiè,"boundary, limit; domain; society; the world",288,3,2
达,dá,"arrive at, reach; intelligent; smooth, slippery",289,5,1
光,guāng,"light, brilliant, shine; only",290,4,2
放,fàng,"put, release, free, liberate",291,3,2
强,qiáng,"strong, powerful, energetic",292,5,1
即,jí,"promptly, quickly, immediately",293,4,2
像,xiàng,"a picture, image, figure; to resemble",294,3,2
难,nán,"difficult, arduous, hard; unable",295,3,2
且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",296,3,2
权,quán,"power, right, authority",297,5,0
思,sī,"think, consider, ponder; final particle",298,2,2
王,wáng,"king, ruler; royal; surname",299,5,2
象,xiàng,"elephant; ivory; figure, image",300,4,2
完,wán,"complete, finish, settle; whole",301,2,2
设,shè,build; establish; display,302,5,2
式,shì,"style, system, formula, rule",303,4,2
色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",304,2,2
路,lù,"road, path, street; journey",305,2,2
记,jì,"record; keep in mind, remember",306,3,2
南,nán,south; southern part; southward,307,3,2
品,pǐn,"article, product, commodity",308,5,1
住,zhù,"reside, live at, dwell, lodge; stop",309,1,2
告,gào,"tell, announce, inform; accuse",310,2,2
类,lèi,"class, group, kind, category",311,5,1
求,qiú,"seek; demand, request; beseech",312,3,2
据,jù,"to occupy, take possession of; a base, position",313,3,2
程,chéng,"journey, trip; schedule, agenda",314,4,2
北,běi,north; northern; northward,315,1,2
边,biān,"edge, margin, side, border",316,2,2
死,sǐ,die; dead; death,317,4,2
张,zhāng,"stretch, extend, expand; sheet",318,3,2
该,gāi,"should, ought to, need to",319,3,2
交,jiāo,"mix; intersect; exchange, communicate; deliver",320,4,2
规,guī,"rules, regulations, customs, law",321,4,2
万,wàn,ten thousand; innumerable,322,3,2
取,qǔ,"take, receive, obtain; select",323,4,2
拉,lā,"pull, drag; seize, hold; lengthen",324,4,2
格,gé,"pattern, standard, form; style",325,4,2
望,wàng,"to look at, look forward; to hope, expect",326,2,2
觉,jué,to wake up from sleep; conscious,327,1,2
术,shù,"art, skill, special feat; method, technique",328,4,2
领,lǐng,"neck; collar; lead, guide",329,5,2
共,gòng,"together with, all, total; to share",330,2,2
确,què,"sure, certain; real, true",331,4,2
传,chuán,"summon; propagate, transmit",332,4,1
师,shī,"teacher, master, specialist",333,1,2
观,guān,"see, observe, view; appearance",334,4,2
清,qīng,"clear, pure, clean; peaceful",335,3,2
今,jīn,"now, today, modern era",336,1,2
切,qiè,"cut, mince, slice, carve",337,4,2
院,yuàn,"courtyard, yard, court; school",338,1,2
让,ràng,"allow, permit, yield, concede",339,2,2
识,shí,"recognize, understand, know",340,1,2
候,hòu,wait; expect; visit; greet,341,1,2
带,dài,"belt, girdle, band, strap, zone",342,3,2
导,dǎo,"direct, guide, lead, conduct",343,4,2
争,zhēng,"dispute, fight, contend, strive",344,4,2
运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",345,2,2
笑,xiào,"smile, laugh, giggle; snicker",346,2,2
飞,fēi,fly; go quickly; dart; high,347,1,2
风,fēng,"wind; air; manners, atmosphere",348,3,2
步,bù,"step, pace; walk, stroll",349,2,2
改,gǎi,"change, alter; improve, remodel",350,4,1
收,shōu,"gather together, collect; harvest",351,4,2
根,gēn,"root, base(d on); foundation",352,3,2
干,gàn,"oppose, offend; invade; dried",353,3,2
造,zào,"construct, build, make, begin; prepare",354,5,1
言,yán,"words, speech; speak, say",355,4,2
联,lián,"connect, join; associate, ally",356,4,2
持,chí,"sustain, support; hold, grasp",357,4,2
组,zǔ,"class; section, department",358,5,1
每,měi,"every, each",359,2,2
济,jì,"help, aid, relieve; ferry, cross",360,4,2
车,chē,"cart, vehicle; carry in cart",361,1,2
亲,qīn,"relatives, parents; intimate the hazel nut or filbert tree a thorny tree",362,4,2
极,jí,"extreme, utmost, furthest, final",363,3,2
林,lín,"forest, grove; surname",364,4,1
服,fú,"clothes; wear, dress",365,1,2
快,kuài,"rapid, quick, speedy, fast; soon",366,2,2
办,bàn,"manage, do, handle; deal with",367,3,2
议,yì,"consult, talk over, discuss",368,3,2
往,wǎng,"go, depart; past, formerly",369,2,2
元,yuán,first; dollar; origin; head,370,3,2
英,yīng,"petal, flower, leaf; brave, a hero; England, English",371,5,2
士,shì,"scholar, gentleman; soldier",372,4,2
证,zhèng,"prove, confirm, verify; proof",373,4,2
近,jìn,"near, close; approach; intimate",374,2,2
失,shī,"lose; make mistake, neglect",375,4,2
转,zhuǎn,"shift, move, turn",376,4,2
夫,fū,"man, male adult, husband; those",377,2,2
令,lìng,,378,5,2
准,zhǔn,"approve, allow, permit; in accord",379,2,2
布,bù,"cotton cloth, textiles, linen",380,5,0
始,shǐ,"begin, start; then, only then",381,2,2
怎,zěn,what? why? how?,382,1,2
呢,ne,interrogative or emphatic final; (Cant.) this,383,1,2
存,cún,"exist, live, be; survive; remain",384,4,1
未,wèi,not yet; 8th terrestrial branch,385,5,1
远,yuǎn,"distant, remote, far; profound",386,2,2
叫,jiào,"cry, shout; hail, greet, call",387,1,2
台,tái,platform; unit; term of address,388,4,2
单,dān,"single, individual, only; lone",389,3,2
影,yǐng,"shadow; image, reflection; photograph",390,1,2
具,jù,"tool, implement; draw up, write",391,4,2
罗,luō,net for catching birds; gauze,392,,1
字,zì,"letter, character, word",393,1,2
爱,ài,"love, be fond of, like",394,1,2
击,jī,"strike, hit, beat; attack, fight",395,5,0
流,liú,"flow, circulate, drift; class",396,4,2
备,bèi,"prepare, ready, perfect",397,2,2
兵,bīng,"soldier, troops",398,5,2
连,lián,"join, connect; continuous; even",399,4,2
调,diào,"transfer, move, change; tune",400,3,2
深,shēn,"deep; depth; far; very, extreme",401,4,2
商,shāng,"commerce, business, trade",402,1,2
算,suàn,"count, calculate, figure; plan",403,3,2
质,zhì,"matter, material, substance",404,4,2
团,tuán,"sphere, ball, circle; mass, lump",405,5,1
集,jí,"assemble, collect together",406,5,1
百,bǎi,"one hundred; numerous, many",407,2,2
需,xū,"need, require, must",408,3,2
价,jià,"price, value",409,4,2
花,huā,flower; blossoms,410,3,2
党,dǎng,"political party, gang, faction",411,6,0
华,huá,flowery; illustrious; Chinese,412,5,1
城,chéng,"castle; city, town; municipality",413,3,2
石,shí,"stone, rock, mineral; rad. 112",414,5,2
级,jí,"level, rank, class; grade",415,3,2
整,zhěng,"orderly, neat, tidy; whole",416,4,2
府,fǔ,prefecture; prefect; government,417,5,1
离,lí,rare beast; strange; elegant,418,2,2
况,kuàng,"condition, situation; furthermore",419,4,2
亚,yà,Asia; second,420,4,2
请,qǐng,"ask, request; invite; please",421,1,2
技,jì,"skill, ability, talent, ingenuity",422,4,2
际,jì,"border, boundary, juncture",423,4,2
约,yuē,"treaty, agreement, covenant",424,4,2
示,shì,"show, manifest; demonstrate",425,4,2
复,fù,return; repeat; repeatedly,426,3,2
病,bìng,"illness, sickness, disease",427,2,2
息,xī,"rest, put stop to, end, cease",428,2,2
究,jiū,"examine, investigate",429,4,2
线,xiàn,"line, thread, wire; clue",430,4,2
似,shì,"resemble, similar to; as if, seem",431,5,0
官,guān,"official, public servant",432,5,0
火,huǒ,"fire, flame; burn; anger, rage",433,2,2
断,duàn,"sever, cut off; interrupt",434,4,2
精,jīng,essence; semen; spirit,435,4,2
满,mǎn,"fill; full, satisfied",436,3,2
支,zhī,"disperse, pay; support; branch",437,4,1
视,shì,"look at, inspect, observe, see",438,1,2
消,xiāo,"vanish, die out; melt away",439,4,2
越,yuè,"exceed, go beyond; the more ...",440,3,2
器,qì,"receptacle, vessel; instrument",441,5,1
容,róng,"looks, appearance; figure, form",442,3,2
照,zhào,"shine, illumine, reflect",443,3,2
须,xū,"must, have to, necessary",444,3,2
九,jiǔ,nine,445,1,2
增,zēng,"increase, add to, augment",446,4,2
研,yán,"grind, rub; study, research",447,4,2
写,xiě,"write; draw, sketch; compose",448,1,2
称,chēng,"call; name, brand; address; say",449,5,2
企,qǐ,plan a project; stand on tiptoe,450,5,0
八,bā,"eight; all around, all sides",451,1,2
功,gōng,"achievement, merit, good result",452,4,2
吗,ma,final interrogative particle,453,1,2
包,bāo,"wrap, pack, bundle; package",454,3,2
片,piàn,"slice, splinter, strip; rad. 91",455,3,2
史,shǐ,"history, chronicle, annals",456,3,2
委,wěi,"appoint, send, commission",457,5,0
乎,hū,interrogative or exclamatory final particle,458,3,2
查,chá,"investigate, examine, seek into",459,3,2
轻,qīng,"light; easy, simple; gentle",460,3,2
易,yì,change; easy,461,3,2
早,zǎo,early; soon; morning,462,2,2
曾,céng,already; sign of past,463,5,1
除,chú,"eliminate, remove, except",464,3,2
农,nóng,"agriculture, farming; farmer",465,5,1
找,zhǎo,"search, seek, look for; find",466,2,2
装,zhuāng,"dress, clothes, attire; fill",467,5,1
广,guǎng,"wide, extensive, broad; rad. 53",468,4,2
显,xiǎn,"manifest, display; evident, clear",469,5,0
吧,ba,emphatic final particle,470,2,2
阿,ā,,471,3,2
李,lǐ,plum; judge; surname,472,3,2
标,biāo,"mark, symbol, label, sign; stand the bole of a tree",473,4,2
谈,tán,talk; conversation; surname,474,4,2
吃,chī,"eat; drink; suffer, endure, bear",475,1,2
图,tú,"diagram; chart, map, picture",476,3,2
念,niàn,"think of, recall, study",477,5,1
六,liù,number six,478,1,2
引,yǐn,"to pull, draw out, attract; to stretch",479,4,2
历,lì,history; calendar,480,3,2
首,shǒu,"head; first; leader, chief; a poem",481,4,2
医,yī,"cure, heal; doctor, medical",482,1,2
局,jú,"bureau, office; circumstance",483,4,2
突,tū,"suddenly, abruptly, unexpectedly",484,3,2
专,zhuān,"monopolize, take sole possession",485,4,2
费,fèi,"expenses, expenditures, fee",486,4,2
号,hào,"mark, sign; symbol; number",487,1,2
尽,jǐn,"exhaust, use up; deplete",488,4,2
另,lìng,"another, separate, other",489,4,2
周,zhōu,Zhou dynasty; circumference,490,3,2
较,jiào,"compare; comparatively, more",491,3,2
注,zhù,"concentrate, focus, direct",492,3,2
语,yǔ,"language, words; saying, expression",493,1,2
仅,jǐn,"only, merely, solely, just",494,4,2
考,kǎo,"examine, test; investigate",495,2,2
落,luò,"fall, drop; net income, surplus",496,4,1
青,qīng,"blue, green, black; young",497,5,2
随,suí,"follow, listen to, submit to",498,4,2
选,xuǎn,"choose, select; elect; election",499,3,2
列,liè,"a line; to arrange in order, classify",500,4,1
武,wǔ,"military; martial, warlike",501,5,0
红,hóng,"red, vermillion; blush, flush",502,2,2
响,xiǎng,"make sound, make noise; sound",503,3,2
虽,suī,"although, even if",504,2,2
推,tuī,"push, expel; push forward",505,4,1
势,shì,"power, force; tendency",506,5,0
参,cān,"take part in, intervene; ginseng",507,3,2
希,xī,"rare; hope, expect, strive for",508,2,2
古,gǔ,"old, classic, ancient",509,5,2
众,zhòng,"multitude, crowd; masses, public",510,4,2
构,gòu,"frame, building, structure",511,5,0
房,fáng,"house, building; room",512,2,2
半,bàn,half,513,3,2
节,jié,"knot, node, joint; section",514,3,2
土,tǔ,"soil, earth; items made of earth",515,5,2
投,tóu,"throw, cast, fling, pitch; jump",516,5,0
某,mǒu,certain thing or person,517,5,1
案,àn,"table, bench; legal case",518,4,2
黑,hēi,"black; dark; evil, sinister",519,2,2
维,wéi,"maintain, preserve, safeguard",520,5,0
革,gé,"leather, animal hides; rad. 177",521,5,1
划,huà,to row or paddle boat; to scratch,522,4,2
敌,dí,"enemy, foe, rival; resist",523,5,0
致,zhì,"send, deliver, present; cause",524,5,0
陈,chén,"exhibit, display; plead; a surname",525,6,1
律,lǜ,"statute, principle, regulation",526,4,2
足,zú,"foot; attain, satisfy, enough",527,2,2
态,tài,"manner, bearing, attitude",528,4,2
护,hù,"protect, guard, defend, shelter",529,3,2
七,qī,seven,530,1,2
兴,xìng,"thrive, prosper, flourish",531,1,2
派,pài,"school of thought, sect, branch",532,5,1
孩,hái,"baby, child; children",533,2,2
验,yàn,"test, examine, inspect; verify",534,4,2
责,zé,,535,4,2
营,yíng,"encampment, barracks; manage",536,5,0
星,xīng,"a star, planet; any point of light",537,1,2
够,gòu,"enough, adequate",538,4,2
章,zhāng,"composition; chapter, section",539,4,2
音,yīn,"sound, tone, pitch, pronunciation",540,3,2
跟,gēn,"heel; to follow, accompany; with",541,3,2
志,zhì,"purpose, will, determination; annals",542,4,2
底,dǐ,"bottom, underneath, underside",543,4,2
站,zhàn,"stand up; a stand, station",544,2,2
严,yán,"strict, rigorous, rigid; stern",545,4,2
巴,bā,"greatly desire, anxiously hope",546,5,1
例,lì,"precedent, example; regulation",547,4,2
防,fáng,defend; prevent; embankment,548,5,0
族,zú,"a family clan, ethnic group, tribe",549,4,2
供,gōng,"supply, provide for; offer in worship",550,4,2
效,xiào,"result, effect; effectiveness",551,4,2
续,xù,"continue, carry on; succeed",552,4,2
施,shī,"grant, bestow; give; act; name",553,5,0
留,liú,"stop, halt; stay, detain, keep",554,3,2
讲,jiǎng,explain; discuss; talk,555,3,2
型,xíng,"pattern, model, type; law; mold",556,5,0
料,liào,"consider, conjecture; materials, ingredients",557,3,2
终,zhōng,"end; finally, in the end",558,3,2
答,dá,"answer, reply; return; assent to",559,3,2
紧,jǐn,"tense, tight, taut; firm, secure",560,4,2
黄,huáng,yellow; surname,561,3,2
绝,jué,"to cut, sever, break off, terminate",562,4,2
奇,qí,"strange, unusual, uncanny, occult",563,3,2
察,chá,"examine, investigate; notice",564,4,2
母,mǔ,mother; female elders; female,565,4,2
京,jīng,capital city,566,1,2
段,duàn,"section, piece, division",567,3,2
依,yī,"rely on, be set in; consent, obey a wish",568,5,1
批,pī,"comment, criticize; wholesale",569,4,2
群,qún,"(same as 羣) group, crowd, multitude, mob",570,5,0
项,xiàng,"neck, nape of neck; sum; funds",571,5,0
故,gù,"ancient, old; reason, because",572,3,2
按,àn,"put hand on, press down with hand",573,4,2
河,hé,river; stream; yellow river,574,3,2
米,mǐ,hulled or husked uncooked rice,575,1,2
围,wéi,"surround, encircle, corral",576,4,2
江,jiāng,large river; yangzi; surname,577,4,2
织,zhī,"weave, knit; organize, unite",578,5,0
